"MV Boucher","caught",8
"LS Livingstone","caught",1
"RR Pant","lbw",5
"Sachin Baby","run out",2
"GJ Maxwell","bowled",13
"RT Ponting","caught",5
"Q de Kock","lbw",3
"AB de Villiers","run out",6
"PP Shaw","stumped",1
"R Bhatia","caught and bowled",2
"PC Valthaty","bowled",3
"F Behardien","caught",2
"A Ashish Reddy","run out",2
"B Akhil","run out",2
"AP Majumdar","caught",1
"B Kumar","run out",3
"M Vijay","lbw",10
"MS Dhoni","caught",76
"WP Saha","caught",43
"AP Majumdar","caught and bowled",1
"A Kumble","bowled",1
"AM Rahane","stumped",4
"S Dube","bowled",2
"R Sharma","run out",1
"S Sreesanth","bowled",1
"MD Mishra","stumped",2
"IK Pathan","lbw",1
"M Vijay","run out",8
"CA Ingram","caught",7
"MF Maharoof","run out",2
"PA Patel","bowled",22
"Shahid Afridi","lbw",1
"R Sathish","caught",9
"M Prasidh Krishna","caught",1
"KH Pandya","caught and bowled",3
"RE Levi","bowled",4
"AT Rayudu","bowled",22
"CRD Fernando","run out",1
"MF Maharoof","bowled",3
"SC Ganguly","run out",3
"M Kaif","caught",9
"CH Morris","caught and bowled",1
"CV Varun","bowled",1
"IK Pathan","caught and bowled",1
"AB McDonald","caught and bowled",1
"KK Nair","bowled",12
"R Dhawan","run out",1
"AB Dinda","run out",1
"A Mithun","caught",4
"NL McCullum","caught",1
"RR Pant","caught",39
"GC Smith","caught and bowled",1
"AD Hales","caught",3
"JH Kallis","bowled",16
"Harpreet Singh","caught",1
"SP Goswami","run out",2
"DJ Hooda","bowled",6
"PJ Sangwan","run out",1
"SN Khan","stumped",1
"NS Naik","bowled",1
"GH Vihari","bowled",1
"AM Nayar","lbw",5
"B Lee","bowled",1
"PD Collingwood","caught",2
"R Dravid","caught",47
"PP Shaw","lbw",1
"Swapnil Singh","bowled",1
"S Gopal","run out",1
"DR Smith","run out",2
"Harmeet Singh","lbw",1
"EJG Morgan","bowled",7
"WA Mota","bowled",1
"NV Ojha","lbw",2
"HM Amla","lbw",3
"E Lewis","lbw",1
"A Mishra","run out",9
"DE Bollinger","caught",1
"DA Warner","lbw",4
"R McLaren","lbw",2
"TD Paine","bowled",1
"S Gopal","bowled",1
"DW Steyn","caught and bowled",1
"Q de Kock","bowled",9
"YV Takawale","caught",4
"SL Malinga","run out",2
"Mohammad Hafeez","caught",6
"MEK Hussey","caught",29
"MC Henriques","bowled",4
"MS Dhoni","stumped",3
"AC Gilchrist","caught",53
"TM Dilshan","bowled",11
"R Dhawan","lbw",2
"R McLaren","bowled",2
"DA Warner","caught and bowled",4
"MP Stoinis","caught",20
"BR Dunk","caught",2
"MV Boucher","run out",2
"AJ Finch","stumped",3
"KL Rahul","lbw",5
"NJ Maddinson","caught",1
"AT Carey","caught",2
"R Ashwin","bowled",5
"B Lee","run out",3
"P Kumar","caught",11
"CM Gautam","stumped",1
"MS Dhoni","caught and bowled",4
"PR Shah","bowled",1
"SV Samson","caught",61
"JJ van der Wath","caught",1
"SK Raina","lbw",6
"RA Jadeja","hit wicket",1
"Y Nagar","lbw",2
"F du Plessis","bowled",12
"A Singh","caught and bowled",1
"S Vidyut","caught",8
"SK Trivedi","bowled",4
"Niraj Patel","run out",1
"SW Tait","stumped",1
"LR Shukla","caught",16
"AS Yadav","run out",2
"JJ Roy","stumped",1
"Harmeet Singh","caught",1
"A Flintoff","caught and bowled",1
"MK Tiwary","caught",30
"DR Smith","lbw",12
"BMAJ Mendis","caught",1
"MR Marsh","caught",8
"AJ Tye","bowled",2
"B Laughlin","bowled",1
"DPMD Jayawardene","stumped",3
"SP Jackson","caught",1
"S Badrinath","bowled",2
"NM Coulter-Nile","lbw",1
"S Rana","run out",1
"Harpreet Singh","caught and bowled",1
"EJG Morgan","stumped",1
"F du Plessis","run out",6
"PD Collingwood","run out",1
"PP Chawla","stumped",2
"Karanveer Singh","bowled",1
"LA Carseldine","stumped",1
"SR Tendulkar","caught and bowled",2
"Mujeeb Ur Rahman","caught",2
"SS Iyer","run out",7
"SR Tendulkar","run out",8
"JEC Franklin","caught",10
"TK Curran","caught",4
"Azhar Mahmood","bowled",2
"WPUJC Vaas","bowled",2
"R Parag","hit wicket",1
"RV Gomez","lbw",1
"DJM Short","bowled",1
"KA Pollard","stumped",1
"DA Warner","bowled",25
"Salman Butt","lbw",2
"JJ van der Wath","lbw",1
"SA Abbott","caught",1
"S Narwal","run out",1
"SE Marsh","stumped",2
"AD Mathews","caught",20
"Mandeep Singh","caught",48
"SR Watson","caught",70
"AB Agarkar","caught and bowled",1
"PC Valthaty","run out",1
"KK Cooper","stumped",1
"Ishan Kishan","caught",29
"CL White","bowled",4
"MS Gony","caught",4
"RE van der Merwe","run out",2
"M Klinger","caught",2
"S Dhawan","lbw",10
"YK Pathan","bowled",11
"HH Pandya","caught and bowled",1
"R Shukla","run out",1
"AR Patel","caught and bowled",1
"A Mishra","caught and bowled",1
"DS Kulkarni","run out",4
"BJ Hodge","stumped",2
"DJM Short","run out",2
"BJ Haddin","caught",1
"AL Menaria","caught",15
"S Dhawan","bowled",31
"BA Stokes","caught and bowled",3
"JC Buttler","run out",2
"SC Ganguly","lbw",2
"CH Morris","run out",4
"S Sreesanth","lbw",1
"CR Brathwaite","run out",2
"KK Ahmed","run out",1
"PP Shaw","bowled",7
"SB Jakati","run out",1
"N Jagadeesan","run out",1
"DJ Jacobs","caught",1
"R Bishnoi","caught",2
"P Dogra","run out",5
"JR Hopes","caught",13
"RV Uthappa","stumped",7
"S Anirudha","bowled",1
"Gurkeerat Singh","run out",5
"RE Levi","stumped",1
"RJ Quiney","lbw",2
"AB de Villiers","lbw",6
"TM Head","bowled",1
"Mohammad Nabi","run out",1
"AD Mascarenhas","caught",4
"MJ Clarke","lbw",2
"GD McGrath","caught",1
"AF Milne","bowled",1
"KP Pietersen","run out",3
"JP Faulkner","bowled",6
"JJ Roy","caught",3
"JL Pattinson","caught",1
"SS Tiwary","caught",34
"PJ Sangwan","bowled",2
"YBK Jaiswal","caught",1
"PP Ojha","run out",2
"Mohammad Nabi","bowled",2
"DP Nannes","bowled",1
"PA Reddy","bowled",2
"BMAJ Mendis","run out",1
"Z Khan","run out",3
"PP Ojha","bowled",3
"MG Johnson","stumped",1
"JC Archer","bowled",1
"KJ Abbott","caught",1
"M Muralitharan","run out",2
"IC Pandey","bowled",1
"KS Williamson","caught",31
